Navn;Stasjon;Time;Rain;Temperature;Wind;Snow
Bergen - Florida;SN50540;05.2012;117,5;10,3;-;0
Bergen - Florida;SN50540;06.2012;54,8;12,9;9,8;0
Bergen - Florida;SN50540;07.2012;182,7;14,8;-;0
Bergen - Florida;SN50540;08.2012;202,7;15,2;-;0
Bergen - Florida;SN50540;09.2012;408,5;10,6;-;0
Bergen - Florida;SN50540;10.2012;224,6;7;13,4;0
Bergen - Florida;SN50540;11.2012;393,1;6;12,4;0
Bergen - Florida;SN50540;12.2012;161,6;-0,1;-;5
Bergen - Florida;SN50540;01.2013;150,4;0,3;-;0
Bergen - Florida;SN50540;02.2013;79,3;0,6;-;0
Bergen - Florida;SN50540;03.2013;17,9;0,9;11,8;0
Bergen - Florida;SN50540;04.2013;219,5;5,1;-;0
Bergen - Florida;SN50540;05.2013;129,7;11,3;12,2;0
Bergen - Florida;SN50540;06.2013;158,9;13,3;9,3;0
Bergen - Florida;SN50540;07.2013;167,6;15,6;13;0
Bergen - Florida;SN50540;08.2013;214,7;15,2;-;0
Bergen - Florida;SN50540;09.2013;202,1;12,5;-;0
Bergen - Florida;SN50540;10.2013;343,1;9,6;-;0
Bergen - Florida;SN50540;11.2013;352,7;5,5;12,6;0
Bergen - Florida;SN50540;12.2013;433,6;5,7;-;2
Bergen - Florida;SN50540;01.2014;101,2;3,4;16,4;0
Bergen - Florida;SN50540;02.2014;200,2;5,5;16,8;0
Bergen - Florida;SN50540;03.2014;278,4;6;17,4;0
Bergen - Florida;SN50540;04.2014;131,1;8,9;13,6;0
Bergen - Florida;SN50540;05.2014;96,7;11,4;10,4;0
Bergen - Florida;SN50540;06.2014;58,6;14,5;11,3;0
Bergen - Florida;SN50540;07.2014;162,7;19;11,7;0
Bergen - Florida;SN50540;08.2014;206;15,5;20,4;0
Bergen - Florida;SN50540;09.2014;127,9;13,6;12,1;0
Bergen - Florida;SN50540;10.2014;473,1;10,6;14,8;0
Bergen - Florida;SN50540;11.2014;169,3;7,3;13,5;0
Bergen - Florida;SN50540;12.2014;423,4;3,2;14;2
Bergen - Florida;SN50540;01.2015;516,1;3,4;21,8;1
Bergen - Florida;SN50540;02.2015;246,4;3,4;17,5;-
Bergen - Florida;SN50540;03.2015;349;5,2;17,7;-
Bergen - Florida;SN50540;04.2015;140,9;6,2;11,2;-
Bergen - Florida;SN50540;05.2015;240,5;8,6;13,4;-
Bergen - Florida;SN50540;06.2015;129,8;11,4;12,9;-
Bergen - Florida;SN50540;07.2015;108,2;14,4;10,9;-
Bergen - Florida;SN50540;08.2015;192,4;16,5;12,3;0
Bergen - Florida;SN50540;09.2015;121,9;13,5;12,3;0
Bergen - Florida;SN50540;10.2015;167,1;9,6;12,1;-
Bergen - Florida;SN50540;11.2015;433,6;6,8;15,1;-
Bergen - Florida;SN50540;12.2015;455,8;5,8;16,5;-
Bergen - Florida;SN50540;01.2016;172,9;0;-;-
Bergen - Florida;SN50540;02.2016;268,3;2,1;14,7;-
Bergen - Florida;SN50540;03.2016;115,3;4,9;15,6;0
Bergen - Florida;SN50540;04.2016;104,3;6,2;9,9;0
Bergen - Florida;SN50540;05.2016;87,1;12,2;14;0
Bergen - Florida;SN50540;06.2016;83,5;15,3;12,9;0
Bergen - Florida;SN50540;07.2016;263,5;14,7;9,4;0
Bergen - Florida;SN50540;08.2016;368,7;14,2;13;0
Bergen - Florida;SN50540;09.2016;262,2;15,2;13,6;0
Bergen - Florida;SN50540;10.2016;93,6;8,3;10,3;0
Bergen - Florida;SN50540;11.2016;316,5;4;11,5;0
Bergen - Florida;SN50540;12.2016;320,4;6,1;17,5;-
Bergen - Florida;SN50540;01.2017;265,9;3,6;-;0
Bergen - Florida;SN50540;02.2017;171,8;3;12,6;0
Bergen - Florida;SN50540;03.2017;186,9;4,7;12;0
Bergen - Florida;SN50540;04.2017;215,5;6,2;12,2;0
Bergen - Florida;SN50540;05.2017;62,7;12,2;10,8;0
Bergen - Florida;SN50540;06.2017;270,4;13,4;11,4;0
Bergen - Florida;SN50540;07.2017;163;14,9;9,8;0
Bergen - Florida;SN50540;08.2017;344,6;14,3;10,9;0
Bergen - Florida;SN50540;09.2017;138,5;13,8;-;0
Bergen - Florida;SN50540;10.2017;403,8;9,6;17;0
Bergen - Florida;SN50540;11.2017;369,1;4,5;16,2;0
Bergen - Florida;SN50540;12.2017;499,8;3,3;15,1;1
Bergen - Florida;SN50540;01.2018;217,2;2,7;17,8;1
Bergen - Florida;SN50540;02.2018;141,6;0,9;17,6;1
Bergen - Florida;SN50540;03.2018;61,3;0,8;13,5;1
Bergen - Florida;SN50540;04.2018;137;7,5;11,6;0
Bergen - Florida;SN50540;05.2018;62,2;14,7;14,5;0
Bergen - Florida;SN50540;06.2018;101,1;14,6;12,7;0
Bergen - Florida;SN50540;07.2018;50,7;17,3;10,9;0
Bergen - Florida;SN50540;08.2018;345,2;14,5;8,9;0
Bergen - Florida;SN50540;09.2018;520,3;12;15,1;0
Bergen - Florida;SN50540;10.2018;539,9;8,4;17,1;0
Bergen - Florida;SN50540;11.2018;74,7;6,7;16,9;0
Bergen - Florida;SN50540;12.2018;135,7;4,2;15,2;0
Bergen - Florida;SN50540;01.2019;190,9;2,6;18,5;2
Bergen - Florida;SN50540;02.2019;117,1;5,3;12,5;1
Bergen - Florida;SN50540;03.2019;249,5;4,6;16,4;0
Bergen - Florida;SN50540;04.2019;12,9;9,8;12,4;0
Bergen - Florida;SN50540;05.2019;89,9;9,4;12,6;0
Bergen - Florida;SN50540;06.2019;159,6;14,1;11,6;0
Bergen - Florida;SN50540;07.2019;151,5;16,2;12,5;0
Bergen - Florida;SN50540;08.2019;399,6;16,4;11,8;0
Bergen - Florida;SN50540;09.2019;259,5;11,6;12,4;0
Bergen - Florida;SN50540;10.2019;292,2;8;10,5;0
Bergen - Florida;SN50540;11.2019;58,5;3;9,3;0
Bergen - Florida;SN50540;12.2019;365,5;5;20,2;0
Bergen - Florida;SN50540;01.2020;466,4;5,5;14,6;0
Bergen - Florida;SN50540;02.2020;336,9;4;20,7;1
Bergen - Florida;SN50540;03.2020;256,6;4,7;17,6;0
Bergen - Florida;SN50540;04.2020;175,3;7,2;14,6;0
Bergen - Florida;SN50540;05.2020;114,8;9;15,2;0
Bergen - Florida;SN50540;06.2020;45,2;17,5;12;0
Bergen - Florida;SN50540;07.2020;225,6;13,6;13,6;0
Bergen - Florida;SN50540;08.2020;171,7;16,4;12,4;0
Bergen - Florida;SN50540;09.2020;382,8;12,3;13;0
Bergen - Florida;SN50540;10.2020;188,5;9,9;15,2;0
Bergen - Florida;SN50540;11.2020;455;7,9;17,8;0
Bergen - Florida;SN50540;12.2020;236;5,2;11,6;0
Bergen - Florida;SN50540;01.2021;112,4;-0,8;13,8;3
Bergen - Florida;SN50540;02.2021;119,9;0,6;16,6;7
Bergen - Florida;SN50540;03.2021;219,1;4,9;18,3;0
Bergen - Florida;SN50540;04.2021;87,9;5,6;14,1;0
Bergen - Florida;SN50540;05.2021;53,5;11;12,9;0
Bergen - Florida;SN50540;06.2021;109,1;15,1;10,7;0
Bergen - Florida;SN50540;07.2021;105,7;17,2;8,8;0
Bergen - Florida;SN50540;08.2021;66,7;15,5;9,7;0
Bergen - Florida;SN50540;09.2021;180;14;12,4;0
Bergen - Florida;SN50540;10.2021;641,4;9,8;15,9;0
Bergen - Florida;SN50540;11.2021;333,8;6;12,8;0
Bergen - Florida;SN50540;12.2021;131,4;2,7;13,1;-
